"","congressionaldistrict","fips","czone","d2_turnout_2002_2010","d2_shnr_2002_2004","d2_shnr_2002_2006","d2_shnr_2002_2008","d2_shnr_2002_2010","d2_shnr_2002_2012","d2_shnr_2002_2014","d2_shnr_2002_2016","d2_shnr_distr_2002_2010","d2_shnr_solidd_2002_2010","d2_shnr_solidr_2002_2010","d2_shnr_competitive_2002_2010","d2_rwin_2002_2004","d2_rwin_2002_2006","d2_rwin_2002_2008","d2_rwin_2002_2010","d2_rwin_2002_2012","d2_rwin_2002_2014","d2_rwin_2002_2016","d2_cfavg_demlib_2002_2004","d2_cfavg_demlib_2002_2006","d2_cfavg_demlib_2002_2008","d2_cfavg_demlib_2002_2010","d2_cfavg_demlib_2002_2012","d2_cfavg_demlib_2002_2014","d2_cfavg_demlib_2002_2016","d2_cfavg_demmod_2002_2004","d2_cfavg_demmod_2002_2006","d2_cfavg_demmod_2002_2008","d2_cfavg_demmod_2002_2010","d2_cfavg_demmod_2002_2012","d2_cfavg_demmod_2002_2014","d2_cfavg_demmod_2002_2016","d2_cfavg_repmod_2002_2004","d2_cfavg_repmod_2002_2006","d2_cfavg_repmod_2002_2008","d2_cfavg_repmod_2002_2010","d2_cfavg_repmod_2002_2012","d2_cfavg_repmod_2002_2014","d2_cfavg_repmod_2002_2016","d2_cfavg_repcon_2002_2004","d2_cfavg_repcon_2002_2006","d2_cfavg_repcon_2002_2008","d2_cfavg_repcon_2002_2010","d2_cfavg_repcon_2002_2012","d2_cfavg_repcon_2002_2014","d2_cfavg_repcon_2002_2016","d2_nominate_demlib_2002_2010","d2_nominate_demmod_2002_2010","d2_nominate_repmod_2002_2010","d2_nominate_repcon_2002_2010","d2_teaparty_2002_2010","d_party_2002_2004","d_party_2004_2006","d_party_2006_2008","d_party_2008_2010","d_party_2010_2012","d_party_2012_2014","d_party_2014_2016","d_imp_usch_pd","d_imp_otch_lag_pd","reg_midatl","reg_encen","reg_wncen","reg_satl","reg_escen","reg_wscen","reg_mount","reg_pacif","l_shind_manuf_cbp","l_sh_routine33","l_task_outsource","shnr_pres2000","shnr_pres1996","l_sh_pop_f","l_sh_pop_edu_c","l_sh_fborn","l_sh_pop_age_1019","l_sh_pop_age_2029","l_sh_pop_age_3039","l_sh_pop_age_4049","l_sh_pop_age_5059","l_sh_pop_age_6069","l_sh_pop_age_7079","l_sh_pop_age_8000","l_sh_pop_white","l_sh_pop_black","l_sh_pop_asian","l_sh_pop_hispanic","sh_district_2002","majority_white","redistrict_2004","redistrict_2006","redistrict_2012","redistrict_2016","house20_r","house16_r","d2_shnr_2016_20","d2_shnr_2002_2020","rep_control","_merge"
"2206","NY 24",36017,17800,0.109521597623825,-32.096118927002,-49.6823310852051,-50.5161819458008,-44.6289367675781,-44.6289367675781,-9.95242023468018,-50.6832313537598,-46.9201927185059,0,0,-44.6289367675781,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,100,0,0,1,0,1,0,0,0,1.06927581399965,1.81674746573417,1,0,0,0,0,0,0,0,0.222891792654991,28.2565441131592,-0.707138776779175,0.524061322212219,0.454121291637421,0.507616579532623,0.4069784283638,0.0172564741224051,0.153926968574524,0.0971576422452927,0.142254039645195,0.153284952044487,0.12581467628479,0.0849594399333,0.0684422478079796,0.0418279804289341,0.976459622383118,0.00820995680987835,0.00284041161648929,0.0106612714007497,0.0766497179865837,1,0,0,1,0,54.4309005737305,53.1820297241211,0.0124887228012085,-49.4343605041504,1,"matched (3)"
"2207","NY 23",36019,18400,NA,-33.5772933959961,-39.7120704650879,-44.2497177124023,-56.8111305236816,-56.8111305236816,-46.923152923584,-38.4020156860352,-50.6139640808105,0,0,-56.8111305236816,0,0,0,-100,-100,0,0,0,0,0,100,100,100,100,0,0,0,0,0,-100,-100,0,0,0,-100,-100,-100,-100,0,0,0,0,0,100,100,0,100,-100,0,0,0,0,0,1,0,1,0,0.712076798472687,0.68075958617085,1,0,0,0,0,0,0,0,0.167699962854385,25.8889045715332,-1.33306121826172,0.460608631372452,0.3880735039711,0.48798406124115,0.42900887131691,0.0454101674258709,0.151225373148918,0.149235233664513,0.160112142562866,0.154805123806,0.109620243310928,0.0767642110586166,0.054134227335453,0.0281873475760221,0.933261573314667,0.0358349829912186,0.00672140577808022,0.0245825722813606,0.125502392649651,1,0,0,1,0,51.175968170166,54.4457206726074,-0.0326974987983704,-41.6717681884766,1,"matched (3)"
"2208","NY 20",36021,18600,0.116492241621017,-9.45932865142822,-28.9632587432861,-38.9841995239258,-18.495304107666,-18.495304107666,-7.59902572631836,-20.3290634155273,-20.4817714691162,0,0,-18.495304107666,0,-100,-100,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,-100,0,0,0,0,0,0,100,0,0,0,0,0,100,0,1,0,1,0,0,0,0.35059002828893,0.557019652479004,1,0,0,0,0,0,0,0,0.118959918618202,32.7612533569336,-0.0571003556251526,0.49369814991951,0.444326490163803,0.502424955368042,0.482632398605347,0.0440453924238682,0.143341675400734,0.0895964726805687,0.140568047761917,0.158081591129303,0.137128725647926,0.0909753665328026,0.0743335336446762,0.046391099691391,0.92092752456665,0.0451706983149052,0.0080356290563941,0.0253272894769907,0.0968898609280586,1,0,0,1,0,37.1014976501465,52.492748260498,-0.153912514448166,-35.7203140258789,0,"matched (3)"
"2209","NY 24",36023,17700,0.165002912282944,-35.9469184875488,-54.973316192627,-54.985595703125,-45.8220596313477,-45.8220596313477,-4.63029146194458,-57.085620880127,-46.9201927185059,0,0,-45.8220596313477,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,100,0,0,1,0,1,0,0,0,1.07882962089629,1.22381730343392,1,0,0,0,0,0,0,0,0.173447117209435,31.8870487213135,-0.310658365488052,0.504240870475769,0.454503208398819,0.516883075237274,0.470416903495789,0.0222432557493448,0.16531203687191,0.155867397785187,0.137101590633392,0.142554372549057,0.110537253320217,0.0708862319588661,0.0577995441854,0.0345480367541313,0.969464421272278,0.00855984725058079,0.0041358876042068,0.0116257537156343,0.0749385356903076,1,0,0,1,0,44.9442443847656,43.4272155761719,0.0151702761650085,-55.5685920715332,0,"matched (3)"
"2210","NY 22",36025,17800,0.12098616361618,-2.80632376670837,-50.3109436035156,-4.92404079437256,8.99723148345947,8.99723148345947,22.181957244873,11.8973140716553,13.472339630127,0,0,8.99723148345947,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,0,0,0,100,100,100,100,0,0,0,0,0,-100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,0,0,1.06927581399965,1.81674746573417,1,0,0,0,0,0,0,0,0.222891792654991,28.2565441131592,-0.707138776779175,0.55785471200943,0.46832150220871,0.507647514343262,0.425037801265717,0.0342940390110016,0.150182083249092,0.0925397947430611,0.12364998459816,0.145999372005463,0.134200394153595,0.103985019028187,0.0860056206583977,0.05033815279603,0.964436590671539,0.0118197901174426,0.00534803885966539,0.0204557273536921,0.00944578740745783,1,0,0,1,0,52.0075798034668,63.1486892700195,-0.111411094665527,0.756204605102539,1,"matched (3)"
"2211","NY 20",36025,17800,0.12098616361618,-11.4968185424805,-21.8076229095459,-30.3811645507812,-21.5941009521484,-21.5941009521484,-8.40920257568359,-18.6938819885254,-20.4817714691162,0,0,-21.5941009521484,0,-100,-100,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,-100,0,0,0,0,0,0,100,0,0,0,0,0,100,0,1,0,1,0,0,0,1.06927581399965,1.81674746573417,1,0,0,0,0,0,0,0,0.222891792654991,28.2565441131592,-0.707138776779175,0.55785471200943,0.46832150220871,0.507647514343262,0.425037801265717,0.0342940390110016,0.150182083249092,0.0925397947430611,0.12364998459816,0.145999372005463,0.134200394153595,0.103985019028187,0.0860056206583977,0.05033815279603,0.964436590671539,0.0118197901174426,0.00534803885966539,0.0204557273536921,0.0652424097061157,1,0,0,1,0,52.0075798034668,63.1486892700195,-0.111411094665527,-29.8349914550781,1,"matched (3)"
"2212","NY 19",36027,19300,0.0882743895053864,-6.56633949279785,-25.3671226501465,-32.2965393066406,-22.6052875518799,-22.6052875518799,-17.996561050415,-24.2586250305176,-20.2547721862793,0,0,-22.6052875518799,0,-100,-100,0,-1.49011611938477e-06,-1.49011611938477e-06,-1.49011611938477e-06,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,-18.3394393920898,0,0,0,0,0,0,18.3394393920898,0,0,0,-100,100,0,0,1,0,1,0.816605627536774,0,0,1.10772820501629,3.69688638268621,1,0,0,0,0,0,0,0,0.138264641165733,28.9297218322754,-0.469176173210144,0.501329660415649,0.469705790281296,0.499814391136169,0.559423089027405,0.084240585565567,0.147981435060501,0.115777261555195,0.160728186368942,0.163116186857224,0.117794036865234,0.0741138681769371,0.0545993223786354,0.0307014100253582,0.836641073226929,0.0931536704301834,0.0251579508185387,0.0644654631614685,0.237806007266045,1,0,0,1,0,41.9348487854004,47.0512199401855,-0.0511637032032013,-29.3749961853027,0,"matched (3)"
"2213","NY 22",36027,19300,0.0882743895053864,-3.15465331077576,-29.6811275482178,-8.07286167144775,2.25092458724976,2.25092458724976,5.99296379089355,0.397595763206482,13.472339630127,0,0,2.25092458724976,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10772820501629,3.69688638268621,1,0,0,0,0,0,0,0,0.138264641165733,28.9297218322754,-0.469176173210144,0.501329660415649,0.469705790281296,0.499814391136169,0.559423089027405,0.084240585565567,0.147981435060501,0.115777261555195,0.160728186368942,0.163116186857224,0.117794036865234,0.0741138681769371,0.0545993223786354,0.0307014100253582,0.836641073226929,0.0931536704301834,0.0251579508185387,0.0644654631614685,0.0443631112575531,1,0,0,1,0,41.9348487854004,47.0512199401855,-0.0511637032032013,-4.71877527236938,0,"matched (3)"
"2214","NY 20",36027,19300,0.0882743895053864,-14.295786857605,-25.228572845459,-30.2689876556396,-19.019115447998,-19.019115447998,-11.9559707641602,-20.2511310577393,-20.4817714691162,0,0,-19.019115447998,0,-100,-100,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,0,0,-87.3979187011719,0,0,0,0,0,0,87.3979187011719,0,0,0,0,0,100,0,1,0,1,0.126020863652229,0,0,1.10772820501629,3.69688638268621,1,0,0,0,0,0,0,0,0.138264641165733,28.9297218322754,-0.469176173210144,0.501329660415649,0.469705790281296,0.499814391136169,0.559423089027405,0.084240585565567,0.147981435060501,0.115777261555195,0.160728186368942,0.163116186857224,0.117794036865234,0.0741138681769371,0.0545993223786354,0.0307014100253582,0.836641073226929,0.0931536704301834,0.0251579508185387,0.0644654631614685,0.149852678179741,1,0,0,1,0,41.9348487854004,47.0512199401855,-0.0511637032032013,-25.3675022125244,0,"matched (3)"
"2215","NY 27",36029,18000,0.105124562978745,-23.0420837402344,-51.9377059936523,-49.2441825866699,-34.0539703369141,-34.0539703369141,-22.157642364502,-27.3548755645752,-32.4715270996094,0,0,-34.0539703369141,-100,-100,-100,-100,-100,-100,-100,0,100,0,0,0,0,0,100,0,100,100,100,100,100,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,0,100,-100,0,0,1,0,0,0,0.375016808509827,0,0,0.735051807010098,1.1707502123803,1,0,0,0,0,0,0,0,0.198381453752518,32.5895538330078,-0.0623230636119843,0.400084853172302,0.370804607868195,0.521806001663208,0.530198693275452,0.0451305694878101,0.138908624649048,0.11836276948452,0.144213452935219,0.154613718390465,0.113797731697559,0.0802407786250114,0.0759209245443344,0.0436867624521255,0.821814954280853,0.129994258284569,0.0145590966567397,0.0326793044805527,0.787935614585876,1,0,0,1,0,38.9441566467285,39.2393760681152,-0.0029522180557251,-27.6500949859619,0,"matched (3)"
"2216","NY 26",36029,18000,0.105124562978745,-19.8615379333496,-26.7586288452148,-17.7747898101807,0.259900093078613,0.259900093078613,12.8134460449219,7.8423171043396,-3.04926037788391,0,0,0.259900093078613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56738156080246,0,0,0.735051807010098,1.1707502123803,1,0,0,0,0,0,0,0,0.198381453752518,32.5895538330078,-0.0623230636119843,0.400084853172302,0.370804607868195,0.521806001663208,0.530198693275452,0.0451305694878101,0.138908624649048,0.11836276948452,0.144213452935219,0.154613718390465,0.113797731697559,0.0802407786250114,0.0759209245443344,0.0436867624521255,0.821814954280853,0.129994258284569,0.0145590966567397,0.0326793044805527,0.300039142370224,1,0,0,1,0,38.9441566467285,39.2393760681152,-0.0029522180557251,7.54709768295288,0,"matched (3)"
"2217","NY 28",36029,18000,0.105124562978745,-16.5850505828857,-12.6374425888062,-18.9017944335938,-6.48461294174194,-6.48461294174194,-0.0526294112205505,-6.43297433853149,-2.4653525352478,-6.48461294174194,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735051807010098,1.1707502123803,1,0,0,0,0,0,0,0,0.198381453752518,32.5895538330078,-0.0623230636119843,0.400084853172302,0.370804607868195,0.521806001663208,0.530198693275452,0.0451305694878101,0.138908624649048,0.11836276948452,0.144213452935219,0.154613718390465,0.113797731697559,0.0802407786250114,0.0759209245443344,0.0436867624521255,0.821814954280853,0.129994258284569,0.0145590966567397,0.0326793044805527,0.371337950229645,1,0,0,1,0,38.9441566467285,39.2393760681152,-0.0029522180557251,-6.72819375991821,0,"matched (3)"
"2218","NY 20",36031,18400,NA,-13.2605438232422,-34.1988143920898,-32.2500534057617,-34.8285751342773,-34.8285751342773,-30.8805313110352,-20.6663722991943,-20.4817714691162,0,0,-34.8285751342773,0,-100,-100,0,0,100,100,0,100,100,0,0,0,0,0,0,0,0,0,-100,-100,0,-100,-100,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,0,1,0,1,1,1,0,0.712076798472687,0.68075958617085,1,0,0,0,0,0,0,0,0.167699962854385,25.8889045715332,-1.33306121826172,0.526721656322479,0.446917414665222,0.481583476066589,0.422504305839539,0.0337185673415661,0.137448206543922,0.107719235122204,0.154204517602921,0.160484924912453,0.122442148625851,0.0909629091620445,0.0726364850997925,0.0429332591593266,0.948444068431854,0.0281073842197657,0.00411829818040133,0.0219041984528303,0.0229858085513115,1,0,0,1,0,51.4692077636719,56.0884284973145,-0.0461922287940979,-25.2855930328369,1,"matched (3)"
"2219","NY 23",36031,18400,NA,-31.4688091278076,-38.6015472412109,-39.7075958251953,-51.0149002075195,-51.0149002075195,-47.0668563842773,-36.8526992797852,-50.6139640808105,0,0,-51.0149002075195,0,0,0,-100,-100,0,0,0,0,0,100,100,100,100,0,0,0,0,0,-100,-100,0,0,0,-100,-100,-100,-100,0,0,0,0,0,100,100,0,100,-100,0,0,0,0,0,1,0,1,0,0.712076798472687,0.68075958617085,1,0,0,0,0,0,0,0,0.167699962854385,25.8889045715332,-1.33306121826172,0.526721656322479,0.446917414665222,0.481583476066589,0.422504305839539,0.0337185673415661,0.137448206543922,0.107719235122204,0.154204517602921,0.160484924912453,0.122442148625851,0.0909629091620445,0.0726364850997925,0.0429332591593266,0.948444068431854,0.0281073842197657,0.00411829818040133,0.0219041984528303,0.0379835106432438,1,0,0,1,0,51.4692077636719,56.0884284973145,-0.0461922287940979,-41.4719200134277,1,"matched (3)"
