fips,avg_household_size,pop_dens
5081,2.25,9.007542588
5083,2.5,11.86296384
5085,2.66,36.16397177
5087,2.58,7.440154385
5089,2.44,10.63184711
5091,2.53,27.00125271
5093,2.49,18.36285781
5095,2.16,4.609912671
5097,2.35,4.452369013
5099,2.5,5.274363826
5101,2.68,3.691189254
5103,2.36,12.70141532
5105,2.74,7.22554351
5107,2.51,10.56464774
5109,2.47,6.947737181
5111,2.51,12.24652429
5113,2.44,9.076778703
5115,2.66,30.24304863
5117,2.12,4.912934335
5119,2.46,200.1765891
5121,2.31,10.42059243
5123,2.45,15.99262769
5125,2.68,62.97248504
5127,2.69,4.518266116
5129,2.39,4.592572331
5131,2.48,92.52384261
5133,2.92,11.74641335
5135,2.29,10.88689047
5137,2.48,7.924463969
5139,2.47,14.76172209
5141,2.41,9.076268141
5143,2.57,93.66695805
5145,2.56,29.39513161
5147,2.26,4.382376797
5149,2.83,8.954998447
6001,2.81,860.7570749
6003,3.71,0.599280666
6005,2.42,24.56534526
6007,2.55,53.57515906
6009,2.57,17.12260581
6011,2.99,7.201880119
6013,2.86,610.1802904
6015,2.48,10.52293111
6017,2.67,42.19958001
6019,3.16,63.38567736
6021,2.75,8.197380559
6023,2.43,14.69107797
6025,3.87,16.65999073
6027,2.16,0.685856011
6029,3.18,41.92545231
6031,3.16,41.67726795
6033,2.43,19.71137641
6035,2.23,2.651421461
6037,3,960.7427779
6039,3.28,28.00789771
6041,2.4,193.1005061
6043,2.13,4.674251881
6045,2.5,9.626461049
6047,3.31,53.67222176
6049,2.31,0.881376109
6051,2.86,1.794895517
6053,3.3,50.96841445
6055,2.78,72.50862772
6057,2.39,39.9469912
6059,3.02,1541.02667
6061,2.67,104.2928314
6063,2.28,2.827868464
6065,3.27,127.6881106
6067,2.77,603.8906191
6069,3.33,16.52008807
6071,3.3,41.10128555
6073,2.87,302.9941503
6075,2.36,7168.190471
6077,3.16,203.0389818
6079,2.52,32.9240586
6081,2.89,659.1746544
6083,2.92,62.63967412
6085,2.97,574.8383699
6087,2.73,237.46465799999999
6089,2.49,18.31466417
6091,2.34,1.186862083
6093,2.23,2.677418441
6095,2.87,206.0444057
6097,2.6,122.8269245
6099,3.09,139.1865627
6101,2.93,61.43488729
6103,2.6,8.296818814
6105,2.17,1.562009465
6107,3.34,36.85265632
6109,2.25,9.376087587
6111,3.08,177.7279193
6113,2.81,81.79800558
6115,2.83,46.11910409
8001,3,164.5753082
8003,2.5,8.78669511
8005,2.66,308.0717154
8007,2.25,3.691471259
8009,2.11,0.538428946
8011,2.26,1.482547663
8013,2.46,170.6435299
8014,2.46,773.5251676
8015,2.24,7.301362223
8017,2.69,0.442710949
8019,2,9.163100806
8021,2.63,2.441785257
8023,2.19,1.159633689
8025,3.72,2.760578135
8027,2.22,2.42546915
8029,2.45,10.25862867
8031,2.31,1746.533667
8033,2.49,0.666073672
8035,2.79,151.0009727
8037,3.06,12.45931034
8039,2.77,5.249033937
8041,2.64,124.925569
8043,2.12,11.83731376
8045,2.73,7.667957958
8047,2.19,15.2590355
8049,2.54,3.150392993
8051,2.35,1.971192463
8053,2.26,0.303426738
8055,1.95,1.597522272
8057,2.24,0.310082694
8059,2.44,288.1670164
8061,2.39,0.316472037
8063,2.35,1.364245023
8065,2.22,7.769797883
8067,2.44,12.59013432
8069,2.46,50.29906087
8071,2.06,1.146996368
8073,2.33,0.831016797
8075,2.52,4.554648651
8077,2.4,17.39732685
8079,2.14,0.36284133
8081,2.48,1.063089924
8083,2.42,4.929472968
8085,2.38,7.110239919
